Materialnummer,Kurztext,Einkaufsbestelltext
536,Mutter M8 DIN928 schw.,"Anschweißmutter
M8
DIN 928 schwarz"
537,Servomotor 1FK71035AY711SY3Z,"Servomotor
Hersteller KUKA
Typbezeichnung 1FK7103-5AY71-1SY3-Z
Leistung 6,600 kW
N1 Antriebsdrehzahl 3.000,00 1/min
Spannung 209V
Isolierklasse F
Schutzart IP65"
538,Schraube M12 x 30 DIN 933 5.6 verz.,"Sechskantschraube mit Gewinde bis Kopf
DIN 933
M12 x 30
5.6
verzinkt"
539,"Kettenrad B-2 1 1/4"" Z23 TLB 3030 gehae.","Kettenrad für Zweifach-Rollenkette
1 1/4"", Z23, für TL 3030
Zahnflanken gehärtet"
540,Mutter M36 LH 00746249 SIEMPELKAMP,"Hexagonmutter
M36 LH
Pos. 31
00746249
SIEMPELKAMP"
541,GT-Motor R97DRN132S4TFV,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 R97DRN132S4TFV
Leistung [kW]:                  5,500 kW
Antriebsmoment (max):           3.000,00 NM
Antriebsmoment (nenn):          4.560,00 NM
N1 Antriebsdrehzahl:            1.461,00 1/min
N2 Abtriebsdrehzahl:            12,00 1/min
Getriebeübersetzung i:          126,750
Spannung [50Hz]:                230D/400Y
Bauform:                        M1
Klemmkastenlage:                Normal
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser
Fremdlüfter:                    400V
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
542,Schraube M10x60H DIN 444B 8.8,"Augenschraube
M10 x 60H
DIN 444B
10001815
VARISCO"
543,Lager NCF 2932 V SKF,"Zylinderrollenlager
NCF 2932 V
SKF"
544,Servomotor 1FT7108-5SF71-1CB0-Z,"Servomotor
Hersteller: Siemens
Typbezeichnung: 1FT7108-5SF71-1CB0-Z
N1 Antriebsdrehzahl: 6.000,00 1/min
Antriebsmoment: 60,00 NM
Isolierklasse: Iso-Kl.:F (tmax=155°C)
Schutzart: IP55-Staubablage/Strahlwasser
Motor-Bremse: 24DC"
545,Radialwellendichtring 35x62x10 BASL,"Radialwellendichtring
35x62x10
BASL"
546,Lager YAR214 SKF,"Lager
YAR214
SKF"
547,Keilriemen SPA 2532 LW,"Keilriemen
SPA 2532mm LW
Wirklänge ISO LW 2532mm
Innenlänge LI 2487mm
Außenlänge LA 2550mm"
548,"Kettenrad B-2 1 1/4"" Z23 TLB 3030 gehae.","Kettenrad für Zweifach-Rollenkette
1 1/4"", Z23, für TL 3030
Zahnflanken gehärtet"
549,"Kettenrad B-1 1 1/2"" Z34 TLB 3030 gehae.","Kettenrad einfach
1 1/2"" Z34 TL3030 vorbereitet
Nabenüberstand 25/27
Zahnkranz gehärtet"
550,"Kettenrad B-2 1"" Z16 d=50mm","Kettenrad
B-2 1"" Z16 geb.50mm
DIN 8187"
551,Wellendichtring 35x62x10 NBR/VA B,"Wellendichtring
35x62x10
Form B
NBR/VA
DOMSEL"
552,"Kettenrad B-2 5/8"" Z30 vorg.gehae.","Kettenrad
für Zweifach-Rollenkette B-2
5/8""
Z = 30
vorgebohrt
Zahnkranz gehärtet"
553,GT-Motor SA57DRN90L4,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 SA57DRN90L4
Leistung [kW]:                  1,500 kW
Antriebsmoment (max):           168,00 NM
N1 Antriebsdrehzahl:            1.461,00 1/min
N2 Abtriebsdrehzahl:            89,00 1/min
Getriebeübersetzung i:          16,470
Spannung [50Hz]:                230D/400Y
Bauform:                        M1A
Klemmkastenlage:                270 NORMAL
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser
Energieeffizienzklasse:         IE3 Premium Efficiency"
554,Servomotor 1FT60616AF713TA0,"Servomotor
Hersteller Siemens
Typenbezeichnung 1FT6061-6AF71-3TA0
Motorleistung 1,100 kW
Antriebsdrehzahl 3,000,00 1/min
Spannung 400V
Bauform B5
Isolierklasse F
Schutzart IP64
Leistungs-Signalstecker A x ial BS
Resolver 2-polig P=1"
555,"O-Ring 33,05 x 1,78 mm NBR70 Shore","O-Ring
33,05 x 1,78
70 Shore
NBR"
556,Servomotor 1PH7133-2HF03-0BB3,"Servomotor 1PH7133-2HF03-0BB3
1.Leistung                      15,00 kW
1.Antr.Drehzahl                 1.780,0  1/min
Bauform                         Fuß-/Flanschausführung B35
Spannung                        400D
Frequenz                        60 Hz
Isolierklasse                   Iso-Kl.:F (tmax=155°C)
Schutzart                       IP54-Staubablag./Spritzwasser"
557,Schraube M12x40 DIN 6912 10.9 schwarz.,"Zylinderschraube mit Innensechskant
M12 x 40
DIN 6912
10.9
schwarz"
558,GT-Motor WAF30DRN80MK4TH,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 WAF30DRN80MK4TH
Leistung [kW]:                  0,550 kW
N1 Antriebsdrehzahl:            1.435,00 1/min
N2 Abtriebsdrehzahl:            175,00 1/min
Getriebeübersetzung i:          8,200
Spannung [50Hz]:                220-240D/380-415Y
Bauform:                        M5A
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
559,Radialwellendichtring 35x62x7 HMS5RG SKF,"Radialwellendichtring
35x62x7
HMS5RG
SKF"
560,Lager 61832 2RSMW SKF,"Rillenkugellager
61832 2RS-MW
SKF"
561,"Kettenrad B-3 1 1/2"" Z20 vorg.gehae.","Kettenrad B-3 1 1/2"" Z20
Vorgebohrt gehaertet"
562,Servomotor 1FK71035AF811YY3Z,"Servomotor
Hersteller KUKA
Typbezeichnung 1FK7103-5AF81 1YY3-Z
Leistung 6,900 kW
N1 Antriebsdrehzahl 3.000 1/min
Drehzahl ma x . 5.000 1/min
Spannung 156 V
Nennstrom 17 A
Isolierklasse F
Schutzart IP65
Art.Nr.: 131492"
563,Schraube M8 x 30 DIN 912 10.9 schw.,"Zylinderschraube mit Innensechskant
M8 x 30
DIN 912
10.9
schwarz"
564,Kettenrad KR90D100 Z10 d=90H7,"Kettenrad
KR90D100
Z = 10
10 Zähne, Zahnbreite 11 mm, nach oben verlängert
Rollendurchmesser 45mm
Nabengesamtlänge 71 mm, einseitig
Nabendurchmesser 130mm
aus S152-3, ungehärtet, mit Bohrung 90H7 ohne Nut"
565,Lager 23224 CC/W33-C4 SKF,"Lager
23224
CC/W33-C4
SKF"
566,Servomotor AG04B,"Servomotor
Hersteller PSE
Typbezeichnung AG04B
Leistung 0,160 kW
Spannung [50Hz] 24V DC
Strom 6,6 A"
567,Servomotor AG04B,"Servomotor
Hersteller                     PSE
Typbezeichnung                 AG04B
Leistung                       0,160 kW
Spannung [50Hz]                24V DC
Strom                          6,6 A"
568,GT-Motor SA57DRN90L4,"Getriebemotor
Hersteller: SEW
Typbezeichnung: SA57DRN90L4
Leistung [kW]: 1,500 kW
Antriebsmoment (max): 168,00 NM
N1 Antriebsdrehzahl: 1.461,00 1/min
N2 Abtriebsdrehzahl: 89,00 1/min
Getriebeübersetzung i: 16,470
Spannung [50Hz]: 230D/400Y
Bauform: M1A
Klemmkastenlage: 270 NORMAL
Isolierklasse: Iso-Kl.:F (tmax=155°C)
Schutzart: IP55-Staubablage/Strahlwasser
Energieeffizienzklasse: IE3 Premium Efficiency"
569,GT-Motor FA77DV100L4,"Getriebemotor
Hersteller SEW
Typbezeichnung FA77DV100L4
Motorleistung 3,000 kW
Antriebsdrehzahl N1 1.400,00 1/min
Abtr.Drehzahl N2 37,00 1/min
Spannung 230D/400Y
Bauform M1
Isolierklasse F
Schutzart IP54"
570,Schraube 12 x 180 DIN 571 4.6 verz.,"Sechskant - Holzschraube
DIN 571
12 x 180
4.6
galvanisch verzinkt"
571,GT-Motor R67DRN112M4TFAL,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 R67DRN112M4TFAL
Leistung [kW]:                  4,000 kW
Antriebsmoment (max):           550,00 Nm
Antriebsmoment (nenn):          390,00 Nm
N1 Antriebsdrehzahl:            1.464,00 1/min
N2 Abtriebsdrehzahl:            98,00 1/min
Getriebeübersetzung i:          14,910
Spannung [50Hz]:                220-230D/380-400Y
Bauform:                        M3
Baugröße:                       112M (H=112mm/Gehäuseausf.:M)
Isolierklasse:                  Iso-Kl.: F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser
Fremdlüfter:                    Nein
Motor-Bremse:                   Nein
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
572,Servomotor 1PH7133-7HF03-0BB3-ZNOYF,"Servomotor
Hersteller: Siemens
Typbezeichnung: 1PH7133-7HF03-0BB3-ZNOYF
Leistung [kW]: 13,500 kW
N1 Antriebsdrehzahl: 1.500,00 1/min
Bauform: B35
Isolierklasse: Iso-Kl.:F (tma x =155°C)
Schutzart: IP55-Staubablage/Strahlwasser"
573,PN-Zylinder ADN-25-30-A-P-A 536256 FESTO,"Kompaktzylinder
ADN-25-30-A-P-A
536256
FESTO"
574,Lager 1210 SKF,"Lager
1210
SKF"
575,GT-Motor R97DRN132M4TF,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 R97DRN132M4TF
Leistung [kW]:                  7,500 kW
Antriebsmoment (nenn):          1.090,00 NM
N1 Antriebsdrehzahl:            1.468,00 1/min
N2 Abtriebsdrehzahl:            66,00 1/min
Getriebeübersetzung i:          22,370
Spannung [50Hz]:                230D/400Y
Baugröße:                       132
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser
Fremdlüfter:                    Nein
Motor-Bremse:                   Nein
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
576,"O-Ring 33,30x2,40mm Viton FPM","O-Ring
33,30x2,40mm
Viton FKM/FPM"
577,Mutter M36 x 2 DIN 439-04 verz.,"Sechskantmutter niedrig
M36 x 2
DIN 439-04
verzinkt"
578,Touch Panel 6AV2128-3MB06-0AX1 SIEMENS,"Touch Panel
12""
6AV2128-3MB06-0AX1
SIEMENS"
579,Schraube M20x260 DIN 931 8.8 verzinkt.,"Hexagonschraube mit Schaft
M20x260
DIN 931
8.8
verzinkt"
580,"ORing 33,3mm 90Sh FKM NBR","ORing
33,3mm
90Sh
FKM NBR"
581,GT-Motor SA57DRN90L4,"Getriebemotor
Hersteller: SEW
Typbezeichnung: SA57DRN90L4
Leistung [kW]: 1,500 kW
Antriebsmoment (ma x ): 168,00 NM
N1 Antriebsdrehzahl: 1.461,00 1/min
N2 Abtriebsdrehzahl: 89,00 1/min
Getriebeübersetzung i: 16,470
Spannung [50Hz]: 230D/400Y
Bauform: M1A
Klemmkastenlage: 270 NORMAL
Isolierklasse: Iso-Kl.:F (tma x =155°C)
Schutzart: IP55-Staubablage/Strahlwasser
Energieeffizienzklasse: IE3 Premium Efficiency"
582,Mutter M36x2 DIN 934-8 Feingewindeschwarz,"Hexagonmutter
M36X2 DIN 934-8 Feingewindeschwarz"
583,Servomotor 1FT7105-5SF70-1CA0,"Servomotor
Hersteller: Siemens
Typbezeichnung: 1FT7105-5SF70-1CA0
N1 Antriebsdrehzahl: 3.000,00 1/min
Antriebsmoment: 48,00 NM
Isolierklasse: Iso-Kl.:F (tma x =155°C)
Schutzart: IP55-Staubablage/Strahlwasser"
584,Servomotor AM8052-1J21-9000,"Servomotor
Hersteller                     BECKHOFF
Typbezeichnung                 AM8052-1J21-9000
N1 Antriebsdrehzahl            4,000.00 1/min
Spannung                       400V
Bauform                        B5
Isolierklasse                  F
Schutzart                      IP54
Art.Nr.:                       10779584"
585,GT-Motor KH67DRN112M4BE5KCCTF,"Getriebemotor
Hersteller: SEW
Typbezeichnung: KH67 DRN112M4/BE5/KCC/TF
Leistung [kW]: 4,000 kW
N1 Antriebsdrehzahl: 1.464,00 1/min
N2 Abtriebsdrehzahl: 83,00 1/min
Getriebeübersetzung i: 17,540
Spannung [50Hz]: 230D/400Y
Bauform: M3A
Baugröße: 112M (H=112mm/Gehäuseausf.:M)
Klemmkastenlage: 180° Normal
Isolierklasse: Iso-Kl.: F (tmax=155°C)
Motor-Bremse: BE5
Bremsgroesse: 400V AC 55Nm
Energieeffizienzklasse: IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
586,"O-Ring 34,00 x 3,00 mm NBR 90 Shore A","O-Ring
34,00 x 3,00 mm
WST: NBR
90° Shore A"
587,Schraube M6x30 DIN 933 5.6 verzinkt.,"Hexagonschraube mit Gewinde bis Kopf
DIN 933
M6x30
5.6
verzinkt"
588,PN-Zylinder ADN-25-40-I-P-A 536265 FESTO,"Kompaktzylinder
ADN-25-40-I-P-A
536265
FESTO"
589,Servomotor AM8043-0E20-0000,"Servomotor
Hersteller                     BECKHOFF
Typbezeichnung                 AM8043-0E20-0000
N1 Antriebsdrehzahl            2,500.00 1/min
Spannung                       400V
Bauform                        B5
Isolierklasse                  F
Schutzart                      IP54
Art.Nr.:                       10765906"
590,Schraube M20x100 DIN931 8.8 schw.,"Sechskantschraube mit Schaft
M20 x 100
DIN 931
8.8
schwarz"
591,O-Ring 33 x 2-FKM80 0009632305 LINDE,"O-Ring
33 x 2-FKM80
0009632305
LINDE"
592,Mutter M36 LH 00746249 SIEMPELKAMP,"Sechskantmutter
M36 LH
Pos. 31
00746249
SIEMPELKAMP"
593,Servomotor 1PH7163-7HF33-0BB3-Z M39,"Servomotor
Hersteller: Siemens
Typbezeichnung: 1PH7163-7HF33-0BB3-Z M39
Leistung [kW]: 31,000 kW
N1 Antriebsdrehzahl: 1.750,00 1/min
Spannung [50Hz]: 364Y
Bauform: B35
Isolierklasse: Iso-Kl.:F (tma x =155°C)
Schutzart: IP54-Staubablage/Spritzwasser"
594,Lager BS222222RS5VT143 SKF,"Lager
BS222222RS5VT143
SKF"
595,Lager 22328 CCKC3W33 SKF,"Pendelrollenlager
22328 CCK/C3W33
SKF"
596,Mutter M36 DIN 982-8 verz.,"Sechskantmutter mit Polyamidklemmteil
hohe Form
M36
DIN 982-8
verzinkt"
597,Schraube M6 x 35 DIN 835 8.8 verz.,"Stiftschraube mit Einschraubende
M6 x 35
DIN 835
8.8
verzinkt"
598,Relais 3RU2126-4DB1 20-25A SIEMENS,"Überlastrelais
3RU2126-4DB1
20-25A
SIEMENS"
599,Schraube M6x35 DIN835 8.8 verz.,"Stiftschraube mit Einschraubende
M6 x 35
DIN 835
8.8
verzinkt"
600,"O-Ring 33,3mm 90Sh FKM NBR","O-Ring
33,3mm
90Sh
FKM NBR"
601,"O-Ring 34,00x3,50mm 70 Shore","O-Ring
34,00 x 3,50 mm
70° Shore"
602,Mutter M36x2 DIN934-8 Feinge.schw,"Sechskantmutter
M36X2 DIN 934-8 Feinge.schw"
603,"O-Ring 34,00x3,00mm 70 Shore","O-Ring
34,00 x 3,00 mm
70° Shore"
604,Wellendichtring 35x62x12 BASL,"Wellendichtring
35x62x12
BASL"
605,Wellendichtring 35x62x5 BASL,"Wellendichtring
35 x 62 x 5mm
BASL"
606,Mutter M36 DIN934-8 verz.,"Sechskantmutter
M36 DIN 934-8 verz."
607,"O-Ring 33,30x2,40mm Viton FPM","O-Ring
33,30x2,40mm
Viton FKM/FPM"
608,Schraube M12x30 DIN933 5.6 verz.,"Sechskantschraube mit Gewinde bis Kopf
DIN 933
M12x30
5.6
verzinkt"
609,Schraube M6x25 DIN933 5.6 verz.,"Sechskantschraube mit Gewinde bis Kopf
DIN 933
M6x25
5.6
verzinkt"
610,Schraube M10x120 DIN603 4.6 verz.,"Flachrundschraube mit Vierkantansatz
DIN 603
M10x120
4.6
verzinkt"
611,Schraube 12x180 DIN571 4.6 verz.,"Sechskant - Holzschraube
DIN 571
12x180
4.6
galvanisch verzinkt"
612,Schraube M6x30 DIN933 5.6 verz.,"Sechskantschraube mit Gewinde bis Kopf
DIN 933
M6x30
5.6
verzinkt"
613,Schraube M20x260 DIN931 8.8 verz.,"Sechskantschraube mit Schaft
M20x260
DIN 931
8.8
verzinkt"
614,Servomotor 373E45402022050FG,"Servomotor
Hersteller                   BAELZ
Typbezeichnung               373.220V
                             373.E45-40-20-220-50-Fg
Schubkraft                   4.000,00 N
Geschwindigkeit:             20,00 mm/min
Schutzart                    IP65
Bedienung                    Manuell
Potentiometer                200 Ohm
Ventil Hub                   12mm
Art.Nr.:                     00.373-E40-40-20-001"
615,Mutter M36 DIN982-8 verz.,"Sechskantmutter mit Polyamidklemmteil
hohe Form
M36
DIN 982-8
verzinkt"
616,Servomotor 30PM068,"Servomotor
Hersteller                     SIBONI
Typbezeichnung                 30PM068
Leistung [kW]                  45,000 W
N1 Antriebsdrehzahl            1.950,00 1/min
Antriebsmoment                 0,22 NM
Spannung [50Hz]                24
Isolierklasse                  F
Schutzart                      IP44"
617,"Kettenrad B-2 1"" Z16 d=50mm","Kettenrad
B-2 1"" Z16 geb.50mm
DIN 8187"
618,"Kettenrad B-2 1"" Z16 d=75mm","Kettenrad
B-2 1""
Z = 16
geb.75mm
DIN 8187"
619,"Kettenrad B-1 5/8"" Z13 K 9183-4.2.3","Kettenrad
B-1 5/8"" Z13
K 9183-4.2.3
DIN 8187"
620,"O-Ring 34,00x3,00mm NBR 90 Shore A","O-Ring
34,00 x 3,00 mm
WST: NBR
90° Shore A"
621,Servomotor AM80520J210000,"Servomotor
Hersteller                     BECKHOFF
Typbezeichnung                 AM8052-0J21-0000
Leistung                       2,890 kW
N1 Antriebsdrehzahl            4.000,00 1/min
Antriebsmoment                 8,20 NM
Spannung                       400V
Strom                          6,3 A
Isolierklasse                  F
Schutzart                      IP54
Motor-Bremse                   24V DC 18W
Thermo KTY                     Ja
Art.Nr.:                       138325"
622,Servomotor AM80330E210000,"Servomotor
Hersteller                     BECKHOFF
Typbezeichnung                 AM8033-0E21-0000
Leistung                       0,940 kW
N1 Antriebsdrehzahl            3.000,00 1/min
Antriebsmoment                 3,20 Nm
Spannung                       400V
Strom                          2,1 A
Isolierklasse                  F
Schutzart                      IP54
Motor-Bremse                   24V DC 12W
Thermo KTY                     Ja
Art.Nr.:                       139774"
623,"O-Ring 33,0x5,0mm Viton FPM 80 Shore","O-Ring
33,00 x 5,00mm
WST: Viton FPM
80° Shore"
624,Servomotor AB8 AM40 SCHIEBEL,"Servomotor
Hersteller                     SCHIEBEL
Typbezeichnung                 AB8 AM40 2WER 2WEL H AK40 K2
Motorleistung                  0,750 kW
Antriebsdrehzahl N1            40,00 1/min
Antriebsmoment                 90,00 NM"
625,Schraube M6x30 DIN835 8.8 verz.,"Stiftschraube mit Einschraubende
M6 x 30
DIN 835
8.8
verzinkt"
626,Schraube M6x35 DIN835 8.8 verz.,"Stiftschraube mit Einschraubende
M6 x 35
DIN 835
8.8
verzinkt"
627,Schraube M6x50 DIN835 8.8 verz.,"Stiftschraube mit Einschraubende
M6 x 50
DIN 835
8.8
verzinkt"
628,Servomotor AM8052-1J21-9000,"Servomotor
Hersteller                     BECKHOFF
Typbezeichnung                 AM8052-1J21-9000
N1 Antriebsdrehzahl            4,000.00 1/min
Spannung                       400V
Bauform                        B5
Isolierklasse                  F
Schutzart                      IP54
Art.Nr.:                       10779584"
629,Servomotor AM8043-0H20-0000,"Servomotor
Hersteller                     BECKHOFF
Typbezeichnung                 AM8043-0H20-0000
N1 Antriebsdrehzahl            5,000.00 1/min
Spannung                       400V
Bauform                        B5
Isolierklasse                  F
Schutzart                      IP54
Art.Nr.:                       10802980"
630,Servomotor AM8051-1G21-9000,"Servomotor
Hersteller                     BECKHOFF
Typbezeichnung                 AM8051-1G21-9000
N1 Antriebsdrehzahl            5,000.00 1/min
Spannung                       400V
Bauform                        B5
Isolierklasse                  F
Schutzart                      IP54
Art.Nr.:                       10802210"
631,Servomotor AM8043-0E20-0000,"Servomotor
Hersteller                     BECKHOFF
Typbezeichnung                 AM8043-0E20-0000
N1 Antriebsdrehzahl            2,500.00 1/min
Spannung                       400V
Bauform                        B5
Isolierklasse                  F
Schutzart                      IP54
Art.Nr.:                       10765906"
632,PN-Schlauch PUN-8-BL-400-HA FESTO,"Kunststoffschlauch
PUN-8-BL-400-HA
553573
FESTO"
633,Schraube M20x100 DIN931 8.8 schw.,"Sechskantschraube mit Schaft
M20 x 100
DIN 931
8.8
schwarz"
634,Modul 3SU1400-1AA10-3HA0 SIEMENS,"Kontaktmodul
3SU1400-1AA10-3HA0
SIEMENS"
635,Servomotor 1FK71055AY811YY3Z,"Servomotor
Hersteller                     KUKA
Typbezeichnung                 1FK7105-5AY81-1YY3-Z
Leistung                       4,300 kW
N1 Antriebsdrehzahl            3.000,00 1/min
Drehzahl max.                  5.000,00 1/min
Spannung                       203 V
Nennstrom                      15,5 A
Isolierklasse                  F
Schutzart                      IP65
Art.Nr.:                       131491"
636,Servomotor 1FK71035AF811YY3Z,"Servomotor
Hersteller                     KUKA
Typbezeichnung                 1FK7103-5AF81 1YY3-Z
Leistung                       6,900 kW
N1 Antriebsdrehzahl            3.000 1/min
Drehzahl max.                  5.000 1/min
Spannung                       156 V
Nennstrom                      17 A
Isolierklasse                  F
Schutzart                      IP65
Art.Nr.:                       131492"
637,Servomotor 1FK71035AY711SY3Z,"Servomotor
Hersteller                     KUKA
Typbezeichnung                 1FK7103-5AY71-1SY3-Z
Leistung                       6,600 kW
N1 Antriebsdrehzahl            3.000,00 1/min
Spannung                       209V
Isolierklasse                  F
Schutzart                      IP65"
638,O-Ring 330x7mm 70 Shore 15610.0019 JAUDT,"O-Ring
330,00 x 7,00mm
70° Shore
15610.0019
JAUDT"
639,Servomotor 5/2.720.001.002,"Servomotor
Herstellerteilenummer:          XXX_ESITRON
Hersteller:                     ESITRON
Typbezeichnung:                 5/2.720.001.002
N1 Antriebsdrehzahl:            3.000,00 1/min
Antriebsmoment:                 0,50 NM
Spannung:                       48V DC"
640,"O-Ring 330,30x5,70mm FPM 70 Shore A","O-Ring
330,30 х 5,70 mm
WST: FPM
70° Shore A"
641,Relais 3RU2126-4DB1 20-25A SIEMENS,"Überlastrelais
3RU2126-4DB1
20-25A
SIEMENS"
642,"Getriebe  R47A i=12,54","Getriebe
Hersteller:                     SEW
Typbezeichnung:                 R87/A
N1 Antriebsdrehzahl:            1.400,00 1/min
N2 Abtriebsdrehzahl:            73,00 1/min
Drehmoment:                     520,00 NM
Getriebeübersetzung i:          19,100
Bauform:                        M1
Getriebeausführung:             Stirnradgetriebe"
643,Mutter M36x2 DIN439-04 verz.,"Sechskantmutter niedrig
M36 x 2
DIN 439-04
verzinkt"
644,Mutter M36 DIN982-8 A2,"Sechskantmutter mit Klemmteil
hohe Form
M36
DIN 982-8
A2
Edelstahl"
645,"Kettenrad B-3 1 1/2"" Z20 vorg.gehae.","Kettenrad B-3 1 1/2"" Z20
Vorgebohrt gehaertet"
646,"Kettenrad B-2 1 1/4"" Z25 TLB 3030","Kettenraeder fuer Zweifach-Rollenkette
1 1/4"" Z25 fuer TL 3030"
647,Wellendichtring 35x62x10 NBR/VA B,"Wellendichtring
35x62x10
Form B
NBR/VA
DOMSEL"
648,Kettenrad 12B-1 Z13 d=18 m.Nut gehae.,"Kettenrad gehärtet
12B-1
Z = 13
D = 18mm
mit Nut
M6"
649,"Kettenrad B-1 1 1/2"" Z34 TLB 3030 gehae.","Kettenrad einfach
1 1/2"" Z34 TL3030 vorbereitet
Nabenüberstand 25/27
Zahnkranz gehärtet"
650,Kettenrad KR16B-1 Z20 G-35/60SK,"Kettenrad KR16B-1 Z=20G-35/60SK
1"" x 17,02 x 15,88mm
DIN 8187, z=20
passend zur Einfach-Rollenkette DIN 8187,
Typ 16B-1, 20 Zähne,
mit eingefrästen Schmutzkerben,
Nabenlänge 45 mm, symetrisch,
Nabendurchmesser 85 mm, Bohrungsdurchmesser 35 mm H7
15mm tief, Bohrungsdurchmesser 60 mm H7,
30 mm tief für Ringspannelement 3560, einteilig,
Zähne gehärtet
FB KETTEN"
651,"O-Ring 33,05x1,78mm NBR70 Shore","O-Ring
33,05 x 1,78
70 Shore
NBR"
652,"Mutter M36x1,5 DIN439-04 verz.","Sechskantmutter niedrig
M30 x 1,5
DIN 439-04
verzinkt"
653,"O-Ring 33,50x2,00mm N 01095200 KSB","O-Ring
33,5 x 2,0mm
N
01095200
KSB"
654,Schraube M30x240 DIN912 12.9 schw.,"Zylinderschraube mit Innensechskant
M30 x 240
DIN 912
12.9
schwarz"
655,Schraube M12x60 DIN603 8.8 verz.,"Flachrundschraube mit Vierkantansatz
DIN 603
M12x60
8.8
verzinkt"
656,Schraube M12x100 DIN603 8.8 verz.,"Flachrundschraube mit Vierkantansatz
DIN 603
M12x100
8.8
verzinkt"
657,Schraube M12x40 DIN603 8.8 verz.,"Flachrundschraube mit Vierkantansatz
M12x40
DIN 603
8.8
verzinkt"
658,PN-Zylinder ADN-25-25-I-P-A 536263 FESTO,"Kompaktzylinder
ADN-25-25-I-P-A
536263
FESTO"
659,PN-Zylinder ADN-25-40-A-P-A 536257 FESTO,"Kompaktzylinder
ADN-25-40-A-P-A
536257
FESTO"
660,Kettenrad 3-518-11-0150 HOMAG,"Kettenrad gehärtet
10B-1
Z = 14
D35+K 1:12
3-518-11-0150
HOMAG"
661,Schraube M12x70 DIN603 8.8 verz.,"Flachrundschraube mit Vierkantansatz
DIN 603
M12x70
8.8
verzinkt"
662,Getriebe  K2L30080WP71111LUR,"Getriebe
Getriebehersteller             NOVENTAS
Getriebetyp                    K2L30080WP71111LUR
Herstellerserialnummer         01991249
Antriebsmoment (max)           45.000,00 NM
Übersetzung i                  71,900
Vorpressengetriebe K2L 30080 WP 71- 111/LUR
Technische Daten:
Antriebsmotor: 1PH7 224 (Siemens)
Motorleistung: 110 KW
Motorendrehzahl: 1750 min^-1
Min. Motordrehzahl: 51,42 min^-1
Max Motordrehzahl: 2571 min^-1
Feldschwächung
Getriebeuntersetzung I:71,9
Min. Abtriebsdrehzahl n2: 0,72 min^-1
Max. Abtriebsdrehzahl n2: 35,76 min^-1
Abtriebsmoment T2n: 40981 NM
Max. Anfahrmoment T2n:40981 NM
Einbaulage: Waagerecht
Incl. Hohlwelle D=150mm/140mm
Schrumpfscheibe
Befestigungsflansch fuer Momentenstuetze
(Ausführung wie A441.03.60)
Anschlussmasse Drehmomentstuetze:
Mass von Aussenkante Schrumpfscheibe bis Anschraubflaeche
Drehmomentstuetze:150 mm
Aussendurchmesser: 540mm
Lochkreisdurchmesser: 510mm
Bohrungsdurchmesser: 18mm
Teilung:24 X 15 Grad
Zentrierdurchmesser: 460mm
Drehmomentstuetze Lieferumfang SICO
Getriebeausführung bei Blick auf Hohlwelle:
Anbau Motor / Bremse : links
Drehrichtung : rechts
Bremsenhersteller: Deutsche van Rietschoten u. Houwens
Bremszange: 100.406.01(100 prozent Feder/280NM)
Bremsscheibe : D348 x 12,7 mm
Bremsenansteuerung: SK 9769/Ventilspannung 24V DC
Ueberwachungseinheit: SK0303/Initiator Fa. Pepperl und Fuchs 24VDC
Oelschmierung: Klüber Syntheso D100 EP
Geeignet fuer den Betrieb in Zone 22 nach EN 1127
Geraetekennzeichnung: II3D
Max. zulaessige Oberflaechentemperatur: 205 Grad C
No: W11351
Ident.Nr.:01991249
Auftragsnummer: 7070360/V8223801
Siempelkamp Teilenummer1: 01991249"
663,Wellendichtring 35x62x8 BAUMSL Viton,"Wellendichtring
35x62x8
BAUMSL Viton"
664,Servomotor 1FK71035AF711AH3Z,"Servomotor
Hersteller                     SIEMENS
Typbezeichnung                 1FK71035AF711AH3Z
Antriebsdrehzahl N1            3.000,00 1/min
Antriebsmoment                 36,00 NM
Isolierklasse                  F
Schutzart                      IP64"
